2025-09-30 17:56:03 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:56:07 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb9655531a0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:07 | ERROR | nse_data_fetcher:_make_request:151 | Failed to fetch data after 3 attempts
2025-09-30 17:56:07 | ERROR | nse_data_fetcher:get_options_chain:205 | Invalid options chain response format
2025-09-30 17:56:07 | WARNING | nse_data_fetcher:calculate_historical_volatility:341 | Using default volatility: 15%
2025-09-30 17:56:07 | SUCCESS | __main__:calculate_historical_volatility:191 | Calculated volatility: 15.00%
2025-09-30 17:56:07 | INFO | __main__:get_options_chain_data:201 | Fetching options chain for NIFTY from NSE
2025-09-30 17:56:07 | INFO | nse_data_fetcher:get_options_chain:195 | Fetching options chain for NIFTY
2025-09-30 17:56:07 | INFO | nse_data_fetcher:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:56:07 | ERROR | nse_data_fetcher:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965553350>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:07 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:56:07 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965553710>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:07 | INFO | nse_data_fetcher:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:56:07 | ERROR | nse_data_fetcher:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965553ad0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:07 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:56:09 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965553e90>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:09 | INFO | nse_data_fetcher:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:56:09 | ERROR | nse_data_fetcher:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965588290>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:09 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:56:13 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965553d40>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:13 | ERROR | nse_data_fetcher:_make_request:151 | Failed to fetch data after 3 attempts
2025-09-30 17:56:13 | ERROR | nse_data_fetcher:get_options_chain:205 | Invalid options chain response format
2025-09-30 17:56:13 | WARNING | __main__:get_options_chain_data:208 | Options chain not available
2025-09-30 17:56:13 | INFO | __main__:generate_options_chain:355 | Generating synthetic options chain
2025-09-30 17:56:13 | SUCCESS | __main__:generate_options_chain:436 | Generated synthetic options chain with 62 options
