2025-09-30 17:50:47 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d204e030>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:47 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:50:51 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/allIndices (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d0769370>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:51 | ERROR | __main__:_make_request:151 | Failed to fetch data after 3 attempts
2025-09-30 17:50:51 | ERROR | __main__:get_nifty_spot_price:176 | Invalid response format from NSE
2025-09-30 17:50:51 | INFO | __main__:get_options_chain:195 | Fetching options chain for NIFTY
2025-09-30 17:50:51 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:50:51 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d07689b0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:51 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:50:51 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d0769cd0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:51 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:50:51 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d0769e80>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:51 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:50:53 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076a510>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:53 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:50:53 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076a930>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:53 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:50:57 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076ad20>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:57 | ERROR | __main__:_make_request:151 | Failed to fetch data after 3 attempts
2025-09-30 17:50:57 | ERROR | __main__:get_options_chain:205 | Invalid options chain response format
2025-09-30 17:50:57 | INFO | __main__:get_options_chain:195 | Fetching options chain for NIFTY
2025-09-30 17:50:57 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:50:57 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076afc0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:57 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
