2025-06-15 15:35:23 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:35:24 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:35:24 | INFO | fastapi_yahoo:root:159 | Dashboard page requested
2025-06-15 15:35:24 | INFO | fastapi_yahoo:log_requests:84 | <<< GET http://localhost:8000/ - 200 - 0.690s
2025-06-15 15:35:29 | INFO | fastapi_yahoo:log_requests:75 | >>> POST http://localhost:8000/api/options-chain
2025-06-15 15:35:29 | INFO | fastapi_yahoo:generate_options_chain:255 | Options chain generation requested
2025-06-15 15:35:29 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:35:29 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:35:31 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:35:31 | INFO | yahoo_nifty_greeks:get_nifty_historical_data:175 | Fetching 30 days of NIFTY historical data
2025-06-15 15:35:31 | SUCCESS | yahoo_nifty_greeks:get_nifty_historical_data:204 | Fetched 21 days of historical data
2025-06-15 15:35:31 | INFO | yahoo_nifty_greeks:calculate_historical_volatility:227 | Calculated historical volatility: 0.1017
2025-06-15 15:35:31 | INFO | yahoo_nifty_greeks:generate_options_chain:307 | Calculating Greeks for 31 strikes
2025-06-15 15:35:31 | SUCCESS | yahoo_nifty_greeks:generate_options_chain:377 | Generated options chain with 62 options
2025-06-15 15:35:31 | INFO | yahoo_nifty_greeks:analyze_options_chain:456 | Options chain analysis completed
2025-06-15 15:35:31 | SUCCESS | fastapi_yahoo:generate_options_chain:294 | Generated options chain with 62 options
2025-06-15 15:35:31 | INFO | fastapi_yahoo:log_requests:84 | <<< POST http://localhost:8000/api/options-chain - 200 - 1.951s
2025-06-15 15:35:34 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:35:34 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:35:34 | INFO | yahoo_nifty_greeks:__init__:240 | NIFTY Options Chain generator initialized
2025-06-15 15:35:34 | INFO | yahoo_nifty_greeks:__init__:468 | Portfolio Greeks calculator initialized
2025-06-15 15:35:36 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:35:36 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:35:36 | INFO | yahoo_nifty_greeks:__init__:240 | NIFTY Options Chain generator initialized
2025-06-15 15:35:36 | INFO | yahoo_nifty_greeks:__init__:468 | Portfolio Greeks calculator initialized
2025-06-15 15:37:05 | INFO | fastapi_yahoo:log_requests:75 | >>> GET http://localhost:8000/
2025-06-15 15:37:05 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:37:07 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:37:07 | INFO | fastapi_yahoo:root:159 | Dashboard page requested
2025-06-15 15:37:07 | INFO | fastapi_yahoo:log_requests:84 | <<< GET http://localhost:8000/ - 200 - 1.831s
2025-06-15 15:37:08 | INFO | fastapi_yahoo:log_requests:75 | >>> POST http://localhost:8000/api/options-chain
2025-06-15 15:37:08 | INFO | fastapi_yahoo:generate_options_chain:255 | Options chain generation requested
2025-06-15 15:37:08 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:37:08 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:37:09 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:37:09 | INFO | yahoo_nifty_greeks:get_nifty_historical_data:175 | Fetching 30 days of NIFTY historical data
2025-06-15 15:37:09 | SUCCESS | yahoo_nifty_greeks:get_nifty_historical_data:204 | Fetched 21 days of historical data
2025-06-15 15:37:09 | INFO | yahoo_nifty_greeks:calculate_historical_volatility:227 | Calculated historical volatility: 0.1017
2025-06-15 15:37:09 | INFO | yahoo_nifty_greeks:generate_options_chain:307 | Calculating Greeks for 31 strikes
2025-06-15 15:37:09 | SUCCESS | yahoo_nifty_greeks:generate_options_chain:377 | Generated options chain with 62 options
2025-06-15 15:37:09 | INFO | yahoo_nifty_greeks:analyze_options_chain:456 | Options chain analysis completed
2025-06-15 15:37:09 | SUCCESS | fastapi_yahoo:generate_options_chain:294 | Generated options chain with 62 options
2025-06-15 15:37:09 | INFO | fastapi_yahoo:log_requests:84 | <<< POST http://localhost:8000/api/options-chain - 200 - 0.842s
2025-06-15 15:38:12 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:38:12 | INFO | yahoo_nifty_greeks:__init__:145 | Yahoo Finance API client initialized
2025-06-15 15:38:12 | INFO | yahoo_nifty_greeks:__init__:240 | NIFTY Options Chain generator initialized
2025-06-15 15:38:12 | INFO | yahoo_nifty_greeks:__init__:468 | Portfolio Greeks calculator initialized
2025-06-15 15:38:25 | INFO | fastapi_yahoo:log_requests:75 | >>> POST http://localhost:8000/api/options-chain
2025-06-15 15:38:25 | INFO | fastapi_yahoo:generate_options_chain:255 | Options chain generation requested
2025-06-15 15:38:25 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:38:25 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:38:26 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:38:26 | INFO | yahoo_nifty_greeks:get_nifty_historical_data:175 | Fetching 30 days of NIFTY historical data
2025-06-15 15:38:26 | SUCCESS | yahoo_nifty_greeks:get_nifty_historical_data:204 | Fetched 21 days of historical data
2025-06-15 15:38:26 | INFO | yahoo_nifty_greeks:calculate_historical_volatility:227 | Calculated historical volatility: 0.1017
2025-06-15 15:38:26 | INFO | yahoo_nifty_greeks:generate_options_chain:307 | Calculating Greeks for 31 strikes
2025-06-15 15:38:26 | SUCCESS | yahoo_nifty_greeks:generate_options_chain:377 | Generated options chain with 62 options
2025-06-15 15:38:26 | INFO | yahoo_nifty_greeks:analyze_options_chain:456 | Options chain analysis completed
2025-06-15 15:38:26 | SUCCESS | fastapi_yahoo:generate_options_chain:294 | Generated options chain with 62 options
2025-06-15 15:38:26 | INFO | fastapi_yahoo:log_requests:84 | <<< POST http://localhost:8000/api/options-chain - 200 - 0.988s
2025-06-15 15:38:31 | INFO | fastapi_yahoo:log_requests:75 | >>> POST http://localhost:8000/api/options-chain
2025-06-15 15:38:31 | INFO | fastapi_yahoo:generate_options_chain:255 | Options chain generation requested
2025-06-15 15:38:31 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:38:31 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
2025-06-15 15:38:31 | SUCCESS | yahoo_nifty_greeks:get_nifty_price:162 | Successfully fetched NIFTY price: 24718.6
2025-06-15 15:38:31 | INFO | yahoo_nifty_greeks:get_nifty_historical_data:175 | Fetching 30 days of NIFTY historical data
2025-06-15 15:38:32 | SUCCESS | yahoo_nifty_greeks:get_nifty_historical_data:204 | Fetched 21 days of historical data
2025-06-15 15:38:32 | INFO | yahoo_nifty_greeks:calculate_historical_volatility:227 | Calculated historical volatility: 0.1017
2025-06-15 15:38:32 | INFO | yahoo_nifty_greeks:generate_options_chain:307 | Calculating Greeks for 5 strikes
2025-06-15 15:38:32 | SUCCESS | yahoo_nifty_greeks:generate_options_chain:377 | Generated options chain with 10 options
2025-06-15 15:38:32 | INFO | yahoo_nifty_greeks:analyze_options_chain:456 | Options chain analysis completed
2025-06-15 15:38:32 | SUCCESS | fastapi_yahoo:generate_options_chain:294 | Generated options chain with 10 options
2025-06-15 15:38:32 | INFO | fastapi_yahoo:log_requests:84 | <<< POST http://localhost:8000/api/options-chain - 200 - 0.643s
2025-06-15 15:39:02 | INFO | fastapi_yahoo:log_requests:75 | >>> POST http://localhost:8000/api/options-chain
2025-06-15 15:39:02 | INFO | fastapi_yahoo:generate_options_chain:255 | Options chain generation requested
2025-06-15 15:39:02 | INFO | yahoo_nifty_greeks:generate_options_chain:282 | Generating NIFTY options chain
2025-06-15 15:39:02 | INFO | yahoo_nifty_greeks:get_nifty_price:150 | Fetching NIFTY price from Yahoo Finance
